[2026-04-05 03:12:39,084][asyncio][DEBUG] - Using selector: EpollSelector
[2026-04-05 03:12:44,245][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2026-04-05 03:12:44,259][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2026-04-05 03:12:44,268][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2026-04-05 03:12:44,277][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2026-04-05 03:12:44,285][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2026-04-05 03:12:44,300][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2026-04-05 03:12:44,308][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2026-04-05 03:12:44,317][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2026-04-05 03:12:44,325][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2026-04-05 03:12:44,333][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2026-04-05 03:12:44,341][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2026-04-05 03:12:44,349][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2026-04-05 03:12:44,357][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2026-04-05 03:12:44,365][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2026-04-05 03:12:44,373][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2026-04-05 03:12:44,381][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2026-04-05 03:12:44,388][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
[2026-04-05 03:12:44,396][AutoNode][DEBUG] - Defining data type 'float[4]' as 'Float4' and array 'Float4Array
[2026-04-05 03:12:44,405][AutoNode][DEBUG] - Defining data type 'frame[4]' as 'Frame' and array 'FrameArray
[2026-04-05 03:12:44,419][AutoNode][DEBUG] - Defining data type 'half' as 'Half' and array 'HalfArray
[2026-04-05 03:12:44,427][AutoNode][DEBUG] - Defining data type 'half[2]' as 'Half2' and array 'Half2Array
[2026-04-05 03:12:44,434][AutoNode][DEBUG] - Defining data type 'half[3]' as 'Half3' and array 'Half3Array
[2026-04-05 03:12:44,443][AutoNode][DEBUG] - Defining data type 'half[4]' as 'Half4' and array 'Half4Array
[2026-04-05 03:12:44,464][AutoNode][DEBUG] - Defining data type 'int' as 'Int' and array 'IntArray
[2026-04-05 03:12:44,473][AutoNode][DEBUG] - Defining data type 'int[2]' as 'Int2' and array 'Int2Array
[2026-04-05 03:12:44,482][AutoNode][DEBUG] - Defining data type 'int[3]' as 'Int3' and array 'Int3Array
[2026-04-05 03:12:44,492][AutoNode][DEBUG] - Defining data type 'int[4]' as 'Int4' and array 'Int4Array
[2026-04-05 03:12:44,500][AutoNode][DEBUG] - Defining data type 'int64' as 'Int64' and array 'Int64Array
[2026-04-05 03:12:44,514][AutoNode][DEBUG] - Defining data type 'matrixd[2]' as 'Matrix2d' and array 'Matrix2dArray
[2026-04-05 03:12:44,553][AutoNode][DEBUG] - Defining data type 'matrixd[3]' as 'Matrix3d' and array 'Matrix3dArray
[2026-04-05 03:12:44,562][AutoNode][DEBUG] - Defining data type 'matrixd[4]' as 'Matrix4d' and array 'Matrix4dArray
[2026-04-05 03:12:44,571][AutoNode][DEBUG] - Defining data type 'normald[3]' as 'Normal3d' and array 'Normal3dArray
[2026-04-05 03:12:44,580][AutoNode][DEBUG] - Defining data type 'normalf[3]' as 'Normal3f' and array 'Normal3fArray
[2026-04-05 03:12:44,588][AutoNode][DEBUG] - Defining data type 'normalh[3]' as 'Normal3h' and array 'Normal3hArray
[2026-04-05 03:12:44,597][AutoNode][DEBUG] - Defining data type 'objectId' as 'ObjectId' and array 'ObjectIdArray
[2026-04-05 03:12:44,605][AutoNode][DEBUG] - Defining data type 'path' as 'Path'
[2026-04-05 03:12:44,614][AutoNode][DEBUG] - Defining data type 'pointd[3]' as 'Point3d' and array 'Point3dArray
[2026-04-05 03:12:44,623][AutoNode][DEBUG] - Defining data type 'pointf[3]' as 'Point3f' and array 'Point3fArray
[2026-04-05 03:12:44,633][AutoNode][DEBUG] - Defining data type 'pointh[3]' as 'Point3h' and array 'Point3hArray
[2026-04-05 03:12:44,642][AutoNode][DEBUG] - Defining data type 'quatd[4]' as 'Quatd' and array 'QuatdArray
[2026-04-05 03:12:44,651][AutoNode][DEBUG] - Defining data type 'quatf[4]' as 'Quatf' and array 'QuatfArray
[2026-04-05 03:12:44,659][AutoNode][DEBUG] - Defining data type 'quath[4]' as 'Quath' and array 'QuathArray
[2026-04-05 03:12:44,668][AutoNode][DEBUG] - Defining data type 'string' as 'String'
[2026-04-05 03:12:44,676][AutoNode][DEBUG] - Defining data type 'target' as 'Target'
[2026-04-05 03:12:44,685][AutoNode][DEBUG] - Defining data type 'texcoordd[2]' as 'TexCoord2d' and array 'TexCoord2dArray
[2026-04-05 03:12:44,694][AutoNode][DEBUG] - Defining data type 'texcoordf[2]' as 'TexCoord2f' and array 'TexCoord2fArray
[2026-04-05 03:12:44,702][AutoNode][DEBUG] - Defining data type 'texcoordh[2]' as 'TexCoord2h' and array 'TexCoord2hArray
[2026-04-05 03:12:44,716][AutoNode][DEBUG] - Defining data type 'texcoordd[3]' as 'TexCoord3d' and array 'TexCoord3dArray
[2026-04-05 03:12:44,726][AutoNode][DEBUG] - Defining data type 'texcoordf[3]' as 'TexCoord3f' and array 'TexCoord3fArray
[2026-04-05 03:12:44,734][AutoNode][DEBUG] - Defining data type 'texcoordh[3]' as 'TexCoord3h' and array 'TexCoord3hArray
[2026-04-05 03:12:44,742][AutoNode][DEBUG] - Defining data type 'timecode' as 'Timecode' and array 'TimecodeArray
[2026-04-05 03:12:44,750][AutoNode][DEBUG] - Defining data type 'token' as 'Token' and array 'TokenArray
[2026-04-05 03:12:44,759][AutoNode][DEBUG] - Defining data type 'uchar' as 'UChar' and array 'UCharArray
[2026-04-05 03:12:44,774][AutoNode][DEBUG] - Defining data type 'uint' as 'UInt' and array 'UIntArray
[2026-04-05 03:12:44,782][AutoNode][DEBUG] - Defining data type 'uint64' as 'UInt64' and array 'UInt64Array
[2026-04-05 03:12:44,790][AutoNode][DEBUG] - Defining data type 'vectord[3]' as 'Vector3d' and array 'Vector3dArray
[2026-04-05 03:12:44,798][AutoNode][DEBUG] - Defining data type 'vectorf[3]' as 'Vector3f' and array 'Vector3fArray
[2026-04-05 03:12:44,806][AutoNode][DEBUG] - Defining data type 'vectorh[3]' as 'Vector3h' and array 'Vector3hArray
[2026-04-05 03:12:47,170][trimesh.util][DEBUG] - falling back to hashlib hashing: `pip install xxhash`for 50x faster cache checks
[2026-04-05 03:12:49,957][h5py._conv][DEBUG] - Creating converter from 7 to 5
[2026-04-05 03:12:49,969][h5py._conv][DEBUG] - Creating converter from 5 to 7
[2026-04-05 03:12:49,978][h5py._conv][DEBUG] - Creating converter from 7 to 5
[2026-04-05 03:12:49,987][h5py._conv][DEBUG] - Creating converter from 5 to 7
[2026-04-05 03:12:50,425][matplotlib][DEBUG] - matplotlib data path: /isaac-sim/exts/omni.isaac.core_archive/pip_prebundle/matplotlib/mpl-data
[2026-04-05 03:12:50,445][matplotlib][DEBUG] - CONFIGDIR=/home/danielc174/.config/matplotlib
[2026-04-05 03:12:50,457][matplotlib][DEBUG] - interactive is False
[2026-04-05 03:12:50,467][matplotlib][DEBUG] - platform is linux
[2026-04-05 03:13:01,388][isaaclab.envs.direct_rl_env][WARNING] - Seed not set for the environment. The environment creation may not be deterministic.
[2026-04-05 03:21:33,423][asyncio][DEBUG] - Using selector: EpollSelector
[2026-04-05 03:21:36,419][AutoNode][DEBUG] - Defining data type 'any' as 'Any'
[2026-04-05 03:21:36,429][AutoNode][DEBUG] - Defining data type 'bool' as 'Bool' and array 'BoolArray
[2026-04-05 03:21:36,439][AutoNode][DEBUG] - Defining data type 'bundle' as 'Bundle'
[2026-04-05 03:21:36,447][AutoNode][DEBUG] - Defining data type 'colord[3]' as 'Color3d' and array 'Color3dArray
[2026-04-05 03:21:36,456][AutoNode][DEBUG] - Defining data type 'colorf[3]' as 'Color3f' and array 'Color3fArray
[2026-04-05 03:21:36,467][AutoNode][DEBUG] - Defining data type 'colorh[3]' as 'Color3h' and array 'Color3hArray
[2026-04-05 03:21:36,478][AutoNode][DEBUG] - Defining data type 'colord[4]' as 'Color4d' and array 'Color4dArray
[2026-04-05 03:21:36,487][AutoNode][DEBUG] - Defining data type 'colorf[4]' as 'Color4f' and array 'Color4fArray
[2026-04-05 03:21:36,495][AutoNode][DEBUG] - Defining data type 'colorh[4]' as 'Color4h' and array 'Color4hArray
[2026-04-05 03:21:36,504][AutoNode][DEBUG] - Defining data type 'double' as 'Double' and array 'DoubleArray
[2026-04-05 03:21:36,512][AutoNode][DEBUG] - Defining data type 'double[2]' as 'Double2' and array 'Double2Array
[2026-04-05 03:21:36,520][AutoNode][DEBUG] - Defining data type 'double[3]' as 'Double3' and array 'Double3Array
[2026-04-05 03:21:36,528][AutoNode][DEBUG] - Defining data type 'double[4]' as 'Double4' and array 'Double4Array
[2026-04-05 03:21:36,536][AutoNode][DEBUG] - Defining data type 'execution' as 'Execution'
[2026-04-05 03:21:36,544][AutoNode][DEBUG] - Defining data type 'float' as 'Float' and array 'FloatArray
[2026-04-05 03:21:36,553][AutoNode][DEBUG] - Defining data type 'float[2]' as 'Float2' and array 'Float2Array
[2026-04-05 03:21:36,565][AutoNode][DEBUG] - Defining data type 'float[3]' as 'Float3' and array 'Float3Array
[2026-04-05 03:21:36,579][AutoNode][DEBUG] - Defining data type 'float[4]' as 'Float4' and array 'Float4Array
[2026-04-05 03:21:36,587][AutoNode][DEBUG] - Defining data type 'frame[4]' as 'Frame' and array 'FrameArray
[2026-04-05 03:21:36,616][AutoNode][DEBUG] - Defining data type 'half' as 'Half' and array 'HalfArray
[2026-04-05 03:21:36,625][AutoNode][DEBUG] - Defining data type 'half[2]' as 'Half2' and array 'Half2Array
[2026-04-05 03:21:36,633][AutoNode][DEBUG] - Defining data type 'half[3]' as 'Half3' and array 'Half3Array
[2026-04-05 03:21:36,641][AutoNode][DEBUG] - Defining data type 'half[4]' as 'Half4' and array 'Half4Array
